Word,POS,Definition
ธัมม์ชาตาปีเกิด,น.,คัมภีร์ที่กำหนดให้ผู้เกิดในแต่ละปีนักษัตรพึงสร้างหรือมีส่วนสร้างถวายไว้ในพุทธศาสนา ซึ่งมีชื่อคัมภีร์หรือชาดก ดังนี้ ปีไจ้ - (ชวด) ๓ เตมียชาดก ปีเป้า - (ฉลู) มหาเวสสันดรชาดก ปียี - (ขาล) สุทธนูชาดก ปีเหม้า - (เถาะ) เนมิราชชาดดก ปีสี - (มะโรง) สมภมิตต์ชาดก ปีไส้ - (มะเส็ง) ภูริทัตต์ชาดก ปีสะง้า - (มะเมีย) สุธนชาดก ปีเม็ด - (มะแม) ฉัททันต์ชาดก ปีสัน - (วอก) มโหสถ ปีเล้า - (ระกา) สิทธาตถ์ออกบวช ปีเส็ด - (จอ) กุสสราชาดก ปีไค้ - (กุน) สุตตโสมชาดก (บุญคิด)
ธัมม์ชาตาวันเกิด,น.,คัมภีร์ที่กำหนดให้ผู้เกิดในแต่ละวันถึงสร้างหรือมีส่วนสร้างถวายไว้ในพุทธศาสนา ซึ่งมีชื่อคัมภีร์หรือชาดก ดังนี้ วันอาทิตย์ - สังคิณี วันจันทร์ - วิภังคะ วันอังคาร - ธาตุกถา วันพุธ - ปุคคลปัญญัติ วันพฤหัสบดี - กถาวัตถุ วันศุกร์ - ยมกะ วันเสาร์ - มหาปัฏฐานสูตร (บุญคิด)
ธัมมกร็อก,น.,คัมภีร์ที่กำหนดให้ผู้เกิดในแต่ละวันถึงสร้างหรือมีส่วนสร้างถวายไว้ในพุทธศาสนา ซึ่งมีชื่อคัมภีร์หรือชาดก ดังนี้ วันอาทิตย์ - สังคิณี วันจันทร์ - วิภังคะ วันอังคาร - ธาตุกถา วันพุธ - ปุคคลปัญญัติ วันพฤหัสบดี - กถาวัตถุ วันศุกร์ - ยมกะ วันเสาร์ - มหาปัฏฐานสูตร (บุญคิด)
ธัมมขันธ์,น.,"​ หมวดธรรม กองธรรม ข้อธรรม (กำหนดข้อธรรมในพระไตรปิฎกว่ามี ๘๔,๐๐๐ พระธัมมขันธ์)"
ธัมมดา,น.,อาการหรือความเป็นไปของธรรมชาติ เช่น การกิน การถ่ายเท การสืบพันธุ์ และการเสื่อมสลาย
ธัมมดา,ว.,สามัญ ปรกติ
ธัมมธัมโม,ว.,เรียกคนที่เคร่งในศาสนาว่าคนธัมมะธัมโม
ธัมมราชา,น.,พระราชาแห่งธรรมคือพระเจ้า พระราชาผู้ทรงธรรม พระยายม
ธัมมศาสตร์,น.,กฎหมาย คัมภีร์อันเป็นต้นกำเนิดแห่งกฎหมาย ความรู้เกี่ยวกับกฎหมาย
ธัมมสังคีติ,น.,การสังคายนาธรรม การร้อยกรองธรรม
ธัมมะ,น.,คุณความดี คำสั่งสอนในศาสนา หลักประพฤติปฏิบัติในศาสนา ความจริง ความถูกต้อง กฎเกณฑ์ กฎหมาย
ธัมมิกราช,น.,ราชาผู้ทรงธรรม
ธาตุ,น.,กระดูกของพระพุทธเจ้า พระปัจเจกพุทธเจ้าและพระอรหันต์โดยทั่วไปเรียกรวมกันว่าพระธาตุ
ธาตุ,น.,สถูปเจดีย์ สิ่งที่ถือกันว่าเป็นส่วนสำคัญ ที่คุมกันเป็นร่างของสิ่งทั้งหลาย โดยทั่วไปเชื่อว่ามี ๔ ธาตุ คือ ดิน น้ำ ลม ไฟ
ธาน,น.,ศิลาแลง
ธานี,น.,เมือง
ธาม,ก.,​ ตาม ลองดู เลียบเคียง
ธารกัมม์,น.,การทรมาน
ธารณ,ก.,ทารุณ เดือดร้อน
ธ้าวน้าว,ว.,ลักษณะสิ่งของขนาดใหญ่ที่ยาวยืดหรือขวางอยู่
ธิดา,น.,ลูกหญิง
ธิราช,น.,อธิราช กษัตริย์
ธี,น.,น้ำประสานเกลือบอแร็คสำหรับประสานโลหะ
ธุ,น.,พระ ภิกษุ
ธุวัง,ว.,แน่ แท้ จริง
ธุง,น.,ซุง ท่อนซุง
ธุย,ว.,ลักษณะอ้วนเตี้ย ใหญ่ เช่น หัวธุย - หัวใหญ่
ธูป,น.,ธูป - เครื่องหอมชนิดหนึ่งมีแกนทำด้วยไม้ไผ่เล็กๆ พอกด้วยผงไม้หอม มักใช้จุดคู่กับเทียน ผงไม้หอมห่อด้วยกระดาษขนาดประมาณ ๐.๕ x ๑๐ เซนติเมตร ใช้เป็นเครื่องบูชาคู่กับเทียน
เธิง,น.,เพดาน
เธิง,ว.,บน เบื้องสูง เหนือ
เธิ้ง,น.,​ เรียกหมอนสามเหลี่ยมสำหรับพิงว่า หมอนเธิ้ง
เธิ้ง,ก.,พิง เอน
เธิ้งเนิ้ง,ว.,เอกเขนก พิงอยู่ พิงพาด โค้งหรือโก่งมาก ใช้กับสิ่งของขนาดกลาง
โธ,ก.,เข็น ไส ถู ครูดไปกับพื้น
โธแป้ง,ก.,​ ทาแป้ง ใช้แป้งผัดอย่างผัดหน้า
โธก,น.,เวิ้ง - ที่เปิดกว้างวุ้งเข้าไปถัดจากที่แคบ ช่องที่เวิ้งว้างเข้าไป เช่น หินหรือตลื่งที่ถูกน้ำกัดเซาะ
โธ้ง,น.,​ คุ้งน้ำ
โธ้งโน้ง ว​. เอกเขนก พิงอยู่ พิงพาด โค้งหรือโก่งมาก ใช้กับสิ่งของขนาดใหญ่,น.,​ คุ้งน้ำ
ไธ้,น.,​ ผู้มีศักดิ์สูง
ไธ้,ว.,ยิ่งใหญ่ สง่า ดี งาม น่ารัก
