Word,POS,Definition
โปร่ง,ว.,โปร่ง - มีช่องว่างหรือเปิดเป็นช่อง
โปรด,ก.,แสดงความเมตตากรุณาโดยปลดเปลื้องความเดือดร้อน
โปรดปราย,ก.,​ ปลดเปลื้องความเดือดร้อน
ปริกขาระ,น.,เครื่องใช้ของสงฆ์
ปริจจาคะ,ก.,สละให้ เสียสละ การให้
ปริจาริกา,น.,หญิงรับใช้ หญิงบำเรอ
ปริตตะ,น.,ความต้านทาน เครื่องป้องกัน พระพุทธมนต์ในแต่ละตำนาน
ปรินิพพาน,น.,การดับสนิท เรียกอาการตายของพระพุทธเจ้า
ปริปุณณะ,ก.,บริบูรณ์ - เต็ม พร้อม ครบ
ปริยัตติ,น.,การเล่าเรียน
ปริยาย,น.,ระเบียบ อันดับ วิธีการพูดอ้อมค้อม
ปริโยสานะ,น.,ที่สุดลงโดยรอบ จบบริบูรณ์
ปริวัตตะ,ก.,หมุนเวียน เปลี่ยนแปลงไป
ปริวาร,น.,ผู้แวดล้อม ผู้รับใช้
ปริวาสะ,น.,การค้างคืน ชื่อกรรมที่ภิกษุต้องอาบัติสังฆาทิเสสต้องประพฤติ
ปริเวณ,น.,บริเวณ ที่อยู่ ที่อาศัย ขอบเขต
ปริสังกา,น.,ความสงสัย
ปวระ,ว.,บวร - ประเสริฐ ล้ำเลิศ
ปวัตติ,น.,ความเป็นไป ประวัติเหตุการณ์ ข่าว
ปวารณา,น.,การห้าม การยินยอม การเชื้อเชิญ
ปวาฬะ,น.,แก้วประพาฬ รัตนชาติชนิดหนึ่งสีแดงอ่อนเกิดจากปะการังใต้ทะเล
ปสาทะ,น.,ความเลื่อมใส ความผ่องใส ความชื่นใจ
ปสูตะ,ว.,ประสูติ - ไหลออกแล้ว คลอดแล้ว
ปักขะ,น.,ปักษ์ - ฝ่าย ข้าง ปีก
ปักขะทึน,น.,ปฏิทิน - แบบสำหรับดูวันเดือนปี
ปังสุกุล,น.,กองฝุ่น คลุกฝุ่น
ปัจจันตะ,ว.,ที่สุดแดน ปลายเขตแดน
ปัจจามิตตะ,น.,ศัตรู
ปัจจุปันนะ,น.,ปัจจุบัน เวลาเดี๋ยวนี้ ทันที
ปัจเจกพุทธะ,น.,พระพุทธเจ้าผู้ตรัสรู้เฉพาะตัว มิได้สอนผู้อื่น
ปัจฉิมะ,น.,ชื่อทิศตะวันตก
ปัจฉิมะ,ว.,ภายหลัง สุดท้าย
ปัชชา,น.,ประชาชน
ปัชชานราฏ,น.,อาณาประชาราษฎร์ ประชาชน
ปัญจวัคคียะ,น.,นักบวชมีพวก ๕​ รูป ได้แก่ พระอัญญาโกณฑัญญะ วัปปะ ภัททิยะ มหานามะ อัสสชิ
ปัญจสีละ,น.,ศีล ๕ - ข้อบัญญัติที่กำหนดทางปฏิบัติกายและวาจา
ปัญญา,น.,ความรู้ ความเข้าใจ
ปัญญาสชาตกะ,น.,ชื่่อชาดกนอกนิบาตชุดหนึ่งมี ๕๐ เรื่อง ที่ภิกษุในเชียงใหม่รจนาขึ้นเมื่อประมาณ พ.ศ. ๒๑๐๐
ปัญญาสะ,ว.,ห้าสิบ
ปัณฑิตะ,น.,ผู้รู้ผู้ฉลาด
ปัณฑิตะ,ว.,ฉลาด
ปัณฑุกัมพลสิลาอาสนะ,น.,แท่นหินมีสีดุจผ้าขนสัตว์เหลือง เป็นที่สถิตของพระอินทร์
ปัณณสาลา,น.,ศาลาโถงมุงด้วยใบไม้
ปัณณะ,น.,ใบไม้ หนังสือ ปีก
ปัณณาการ,น.,ของฝาก ของขวัญ
ปัตตานุโมทนา,น.,การอนุโมทนาส่วนบุญที่ผู้อื่นให้
ปัตติทานะ,น.,การให้ส่วนบุญ คือ สังวรปธาน ปหานปธาน ภาวนาปธาน และอนุรักขนาปธาน
ปัพพชา,น.,การบวช
ปัพพตะ,น.,บรรพต - ภูเขา
ปัพพาชนียกัมมะ,น.,การขับไล่ภิกษุออกจากหมู่
ปัพภา,น.,ประภา - แสง แสงสว่าง
ปัยยิกา,น.,ย่าทวด ยายทวด
ปัลลังกาน,น.,บัลลังก์ - พระแท่นที่ประทบัของกษัตริย์
ปาการะ,น.,ปาการ - กำแพงเมือง
ปาจิตตีย,น.,ชื่ออาบัติหมวดหนึ่งจัดไว้ในพวกอาบัติเบาที่เปรียบด้วยลหุโทษ
ปาจีน,น.,ทิศตะวันตก
ปาฏลิปุตตะ,น.,ชื่อเมืองในแคว้นมคธ ปัจจุบันเรียก ปัตนะ
ปาฏิหาริย์,น.,ความมหัศจรรย์ การแสดงฤทธิ์
ปาณาติบาต,น.,การทำชีวิตมนุษย์และสัตว์อื่นๆ ให้ตกล่วงไป
ปาติโมกข์,น.,คัมภีร์ว่าด้วยวินัยของสงฆ์ ๒๒๗ ข้อ
ปาทปริจาค,น.,หญิงที่มีหน้าที่รับใช้พระเจ้าแผ่นดิน
ปาทะ,น.,บาท ตีน
ปานะ,น.,เครื่ื่องดื่ม น้ำสำหรับดื่ม
ปายาส,น.,ข้าวชนิดหนึ่งที่หุงเจอด้วยน้ำนมและน้ำตาล
ปรามี,น.,บารมี - คุณความดีที่ควรบำเพ็ญ ๑๐ ประการ คือ ทาน ศีล เนกขัมมะ (การบวช) ปัญญา วิริยะ ขันติ จาคะ อธิฎฐาน เมตตา อุเบกขา คุณความดีที่ได้บำเพ็ญมา คุณสมบัติที่ทำให้ยิ่งใหญ่
ปาราชิก,น.,อาบัติหนักของพระสงฆ์ซึ่งต้องลึก มี ๑. เสพเมถุน ๒. ลักทรัพย์ตั้งแต่หนึ่งบาทขึ้นไป ๓. ฆ่าคน ๔. อวดอุตริมนุษยธรรม
ปาริฉตต,น.,ต้นปาริชาต ต้นทองหลางในสวนสวรรค์ของพระอินทร์
ปาละ,น.,ดูแล รักษา
ปาลิเลยยกะ,น.,ชื่อป่าแห่งหนึ่งที่พระพุทธเจ้าเคยเสด็จจำพรรษาอยู่ เป็นชื่ออ้างที่มาถวายการปรนนิบัติในที่นั้นด้วย
ปาสกะ,น.,ลููกบาศก์ ลูกเต๋า
ปาสาทะ,น.,ปราสาท - เรือนมียอดเป็นชั้นๆ สำหรับเป็นที่ประทับของพระเจ้าแผ่นดินหรือประดิษฐานสิ่งศักดิ์สิทธิ์
ปิฏกะ,น.,ตะกร้า หมวดแห่งคำสอนในพุทธศาสนา
ปิณฑิบาต,น.,ก้อนข้าว อาหาร
ปิณฑิบาต,ก.,อาการที่ภิกษุสามเณรรับของที่มีผู้นำมาใส่บาตร
ปิตตา,น.,พ่อ
ปิตตูปิตตา,น.,บรรพบุรุษ
ปิตา,น.,บิดา - พ่อ
ปิตุฆาต,น.,การฆ่าพ่อ
ปิตุลา,น.,ลุง อา
ปิยะ,ว.,ที่รัก ใช้ประกอบหน้าคำศัพท์
ปีติ,น.,ความอิ่มใจ ความปลื้มใจ
ปีฬะ,ก.,เบียดเบียน บีฑา
ปุคคละ,น.,บุคคล คน
ปุจฉา,น.,คำถาม
ปุญญะ,น.,บุญ
ปุณณมี,น.,วันพระจันทร์เต็มดวง
ปุณณะ,ว.,เต็มแล้ว
ปุตตะ,น.,บุตร
ปุถุชน,น.,คนที่ยังมีกิเลสหนา สามัญชน
ปุบผา,น.,ดอกไม้
ปุพพกัมมะ,น.,กรรมเก่าที่ทำไว้แต่ปางก่อน
ปุพพนิมิตตะ,น.,ลางที่บอกเหตุขึ้นก่อน
ปุพพวิเทหะ,น.,ชื่อทวีปซึ่งอยู่ทางทิศตะวันออกของเขาพระสุเมรุ
ปุพพา,น.,บูรพา - ทิศตะวันออก
ปุพเพสันนิวาสะ,น.,การเคยอยู่ร่วมกันในชาติก่อน
ปุระ,น.,เมือง
ปุราณะ,ว.,เก่า โบราณ
ปุริสะ,น.,บุรุษ ผู้ชาย
ปุรี,น.,เมือง
ปุโรหิต,น.,พราหมณ์ที่ปรึกษาของกษัตริย์ในทางนิติ คือ ขนบธรรมเนียม จารีตประเพณี
ปูชา,ก.,การแสดงความเคารพสิ่งที่นับถือด้วยเครื่องสักการะ จ่ายเงินต่าของบางอย่าง ในความหมายแทนคำว่าซื้อ
ปูชาคุณ,น.,สมนาคุณ ตอบแทนความดี
ปูชาเทียน,น.,วิธีการจุดเทียนขี้ผึ้งใหญ่ขนาดหัวแม่มือ ยาวประมาณหนึ่งคืบ ที่ใช้ไส้ทำด้วยกระดาษสาลงยันต์เพื่อผลแก่การบูชานั้น มักประกอบในพิธีการสืบชาตา การสะเดาะเคราะห์ และการรับโชค ตามยันต์ที่ประจุ เป็นไส้เทียนนั้นๆ
เปกขะ,น.,การเพ่งดู ผู้เพ่งหรือมุ่งอุปสมบท คำนี้น่าจะเลือนไปเป็น เปกข์ และ เพ็ก ซึ่งหมายถึงการอุปสมบท
เปสสนา,น.,ปริศนา คำถาม คำที่ผูกให้แก้
โปกขรณี,น.,สระมีบัว ตระพังน้ำ
โปกขรวัสสะ,น.,ฝนโบกขรพรรษ - ฝนดุจน้ำตกลงใบบัว กล่าวกันว่าผู้ใดอยากให้เปียกก็เปียก ผู้ใดไม่อยากให้เปียกก็ไม่เปียก
โปตถกะ,น.,หนังสือ ผ้าเปลือกไม้ ใบลานจารหนังสือ
โปราณะ,ว.,โบราณ - เก่า
โปสถะ,น.,อุโบสถ - สถานที่พระสงฆ์ประชุมกันทำสังฆกรรมต่างๆ
โปสถะ อุโปสถะ,น.,อุโบสถ - สถานที่พระสงฆ์ประชุมกันทำสังฆกรรมต่างๆ
